fips,0-17,18-24,25-34,35-44,45-54,55-64,65-74,75-84,85+
29121,6830,2994,2998,3050,3418,3896,3256,1913,1065
29123,6144,2645,2649,3104,3362,3342,2850,1611,768
29125,3537,1844,1655,1921,2194,2390,1914,1005,492
29127,13524,6754,6523,6569,7071,7621,5734,3739,1674
29129,1467,616,580,654,765,930,718,487,174
29131,11626,5047,5779,5719,6659,6944,5588,3146,1416
29133,6245,2867,3546,3380,3401,3398,2807,1462,662
29135,6863,2757,3397,3368,3605,3212,2543,1400,745
29137,3589,1675,1651,1682,2015,2420,1973,1106,454
29139,4898,2205,2208,2288,2933,3191,2492,1466,788
29141,8508,3619,3849,3956,4987,5951,5434,2742,1231
29143,8224,3967,3837,4478,4551,5172,3650,1978,1303
29145,27682,13176,12801,13247,14369,14576,11996,7229,2470
29147,7223,12015,4438,3762,4090,4391,3346,2333,1110
29149,4856,2159,1998,2129,2636,3082,2829,1427,579
29151,5608,2728,2585,2876,3247,3179,2322,1486,626
29153,3591,1619,1558,1823,2195,3205,2651,1510,500
29155,8905,3998,3850,3971,4147,4288,3177,1928,901
29157,8757,3943,3964,4247,4593,4929,3399,2203,1030
29159,19966,9457,10490,9017,10147,10188,7203,4437,2309
29161,19264,15904,11056,9220,10549,10975,8266,4739,2149
29163,7472,4022,4255,3859,4367,4402,3556,1970,898
29165,43353,19643,22971,23939,23800,23269,15913,7829,3719
29167,14324,8497,6565,6296,7318,7327,5857,3631,1878
29169,23056,22275,16556,11499,10218,8639,5861,2906,1595
29171,2124,1112,917,980,1218,1417,1173,682,341
29173,3993,1812,1882,2087,2526,2790,2371,1121,467
29175,10801,5526,5968,5705,6021,6081,4338,2678,1289
29177,9946,4246,4623,4848,5639,5962,4420,2340,1051
29179,2432,1039,1155,1319,1480,1667,1525,837,424
29181,6509,2880,2957,3211,3546,3709,3117,2097,508
29183,156641,71153,82501,81960,87637,82013,56800,31129,12663
29185,3338,1518,1525,1589,2085,2679,2300,1567,572
29186,8028,4019,3724,4115,4960,5421,3582,2243,886
29187,29183,14392,17565,15927,17084,16299,12145,7111,2780
29189,444239,220844,241920,224488,251646,265913,186406,110602,56899
29195,10158,6231,5197,5113,5079,5558,4122,2465,1553
29197,1844,794,714,813,872,958,733,509,212
29199,2587,1054,1022,946,1151,1161,1000,562,394
29201,18816,8610,9863,8905,10027,10029,8014,4226,1915
29203,3512,1799,1642,1535,2065,2325,2052,1097,299
29205,2482,1084,1092,1124,1307,1501,1174,766,344
29207,12893,6035,6454,6729,7305,7581,6107,3879,1503
29209,11059,5357,5022,6061,7876,10393,9770,4589,1834
29211,2586,1242,1313,1320,1466,1470,1252,676,366
29213,22142,12176,11814,11429,12656,14021,12360,6447,2613
29215,12343,5221,5893,5628,6654,7283,5848,3409,1387
29217,9379,4362,4336,4282,4996,5442,4245,2521,976
29219,15406,5949,7658,7269,8518,8626,6484,3598,1243
29221,11442,4901,5821,6028,6564,6695,4736,2569,819
29223,5908,2700,2760,2822,3820,4197,3612,2030,743
29225,17520,6637,7323,7843,8691,8072,6149,3498,1294
29227,711,395,331,360,429,538,395,313,176
29229,9373,3938,3986,4111,4652,5499,4070,2563,953
29510,145866,89946,117785,84902,82954,88871,54304,32431,15351
30001,3395,2800,1841,1671,1853,2526,1956,1062,541
30003,7233,2671,2985,2226,2690,2725,1833,907,423
30005,3034,1391,1264,1123,1314,1464,1040,532,359
30007,2239,973,868,1222,1378,1706,1296,633,205
30009,3541,1596,1631,2145,2518,3193,2588,1116,651
30011,423,239,217,132,267,373,240,219,90
30013,36061,19630,21545,17030,18805,21114,16427,9735,4256
30015,2217,1106,971,954,1070,1444,1002,551,264
30017,4933,2681,2795,2354,2771,3200,2276,1618,737
30019,614,349,238,407,365,498,301,291,155
